B,bitstring,capital_avg,cvar95,eta,exp_return,feasible,gamma,lambda,liquidity_avg,model_version,objective_scaled,objective_unscaled,q,selected_count,source,var95,variance,volatility,worst_scenario_return
4,00000000,0.0,0.0,0.25,0.0,False,0.25,8.0,0.0,base,0.0,0.0,0.5,0,exact_enumeration,0.0,0.0,0.0,0.0
4,00000001,0.05,0.0037053353539376797,0.25,4.0446575294856524e-05,False,0.25,8.0,0.5,base,-0.9999982715230589,-56.0000388195221,0.5,1,exact_enumeration,0.0028707979640870762,3.2541063786394857e-06,0.001803914182725854,-0.006167496104893
4,00000010,0.0625,0.0038241671998480637,0.25,7.235288032130992e-05,False,0.25,8.0,0.625,base,-0.9999988385506335,-56.000070573143184,0.5,1,exact_enumeration,0.002911758401876126,3.559474280158311e-06,0.0018866569057882016,-0.006967078924135492
4,00000011,0.1125,0.005965535025847316,0.25,0.00011279945561616645,False,0.25,8.0,1.125,base,-1.7142835026544951,-96.00010863029216,0.5,2,exact_enumeration,0.004505264103295589,8.338326897102754e-06,0.0028876161270332927,-0.011205459721008308
4,00000100,0.08750000000000001,0.004918505690567422,0.25,0.00011280602690242845,False,0.25,8.0,1.0,base,-0.9999995396084006,-56.000109832473214,0.5,1,exact_enumeration,0.0038168411672818803,5.94710737908849e-06,0.0024386691819696434,-0.008724340171179498
4,00000101,0.1375,0.0063034168354660115,0.25,0.00015325260219728497,False,0.25,8.0,1.5,base,-1.7142842094880932,-96.00014821306952,0.5,2,exact_enumeration,0.004993495442352479,1.0079065341786287e-05,0.00317475437503223,-0.00966437745475054
4,00000110,0.15000000000000002,0.006958308995709891,0.25,0.00018515890722373837,False,0.25,8.0,1.625,base,-1.714284766001276,-96.00017937788323,0.5,2,exact_enumeration,0.005378754189020841,1.156204798119676e-05,0.0034003011603675284,-0.011887121796632802
4,00000111,0.2,0.008540876817921766,0.25,0.00022560548251859488,False,0.25,8.0,2.125,base,-2.1428558284617716,-120.00021699610642,0.5,3,exact_enumeration,0.006595897825239062,1.721875218219951e-05,0.004149548431118682,-0.012576113768538693
4,00001000,0.0875,0.004696379151727182,0.25,7.945568030868549e-05,False,0.25,8.0,1.025,base,-0.9999989531490517,-56.000076990670145,0.5,1,exact_enumeration,0.0036747206607030524,4.93002032041978e-06,0.002220364907041133,-0.008769155688674167
4,00001001,0.1375,0.006402225997628737,0.25,0.00011990225560354201,False,0.25,8.0,1.525,base,-1.7142836220566489,-96.00011531682897,0.5,2,exact_enumeration,0.004661383377541175,9.170853281943604e-06,0.0030283416719293094,-0.012654572034648067
4,00001010,0.15,0.006207469741715322,0.25,0.0001518085606299954,False,0.25,8.0,1.65,base,-1.714284188510979,-96.00014703834826,0.5,2,exact_enumeration,0.004885886799186782,9.540424727647194e-06,0.00308875779685737,-0.01053480999217544
4,00001011,0.2,0.008065758152466507,0.25,0.00019225513592485195,False,0.25,8.0,2.15,base,-2.1428552499993785,-120.00018460213396,0.5,3,exact_enumeration,0.00595592464818747,1.5306003927475975e-05,0.0039122888348735166,-0.01607884513141046
4,00001100,0.175,0.007045536886100237,0.25,0.00019226170721111394,False,0.25,8.0,2.025,base,-1.7142848847096488,-96.0001860255682,0.5,2,exact_enumeration,0.0056501163486584955,1.2472278029757696e-05,0.0035316112512219825,-0.010027678701440002
4,00001101,0.225,0.008368990868387945,0.25,0.00023270828250597048,False,0.25,8.0,2.525,base,-2.1428559519738792,-120.00022391280122,0.5,3,exact_enumeration,0.006536307452152628,1.7590962575339832e-05,0.004194158148584747,-0.014708602993752061
4,00001110,0.2375,0.008688457472765638,0.25,0.00026461458753242385,False,0.25,8.0,2.65,base,-2.1428565079138178,-120.00025504551314,0.5,3,exact_enumeration,0.006975046716812296,1.9138148758935067e-05,0.004374716991867596,-0.01368145775549585
4,00001111,0.2875,0.010318308265586768,0.25,0.0003050611628272804,True,0.25,8.0,3.15,base,-2.285713967758851,-128.00029217037303,0.5,4,exact_enumeration,0.007982759280920595,2.5781579542822162e-05,0.005077556453927633,-0.016940419306391785
4,00010000,0.017500000000000005,0.0028862461238557016,0.25,0.0001367538778621009,False,0.25,8.0,0.65,base,-1.0,-56.000135614465215,0.5,1,exact_enumeration,0.0023393436393998068,2.278825294702282e-06,0.0015095778531438126,-0.004267464471313187
4,00010001,0.0675,0.004966852745399413,0.25,0.0001772004531569574,False,0.25,8.0,1.15,base,-1.7142846720859857,-96.00017411861424,0.5,2,exact_enumeration,0.0037512371648026816,6.163677862376598e-06,0.002482675545127997,-0.010367122136276672
4,00010010,0.08,0.0050658089730999745,0.25,0.00020910675818341083,False,0.25,8.0,1.275,base,-1.7142852376444677,-96.00020578996592,0.5,2,exact_enumeration,0.00387033235625022,6.633584527758347e-06,0.0025755746014740765,-0.00937326652735801
4,00010011,0.13,0.007102323356955669,0.25,0.0002495533334782673,False,0.25,8.0,1.775,base,-2.142856302311256,-120.00024353174182,0.5,3,exact_enumeration,0.005215325786059692,1.2043183333737619e-05,0.003470328995028803,-0.015472924192321495
4,00010100,0.10500000000000001,0.006163919350100308,0.25,0.00024955990476452936,False,0.25,8.0,1.65,base,-1.7142859367622825,-96.00024494065838,0.5,2,exact_enumeration,0.00468834910075809,9.238492803490474e-06,0.0030394889049790057,-0.010528494526087426
4,00010101,0.15500000000000003,0.0075093644263085745,0.25,0.0002900064800593859,False,0.25,8.0,2.15,base,-2.142857007204902,-120.00028300588158,0.5,3,exact_enumeration,0.006057094299100919,1.4001196955223102e-05,0.0037418173332250068,-0.011897054929501216
4,00010110,0.1675,0.008002150807788313,0.25,0.00032191278508583927,False,0.25,8.0,2.275,base,-2.1428575622489925,-120.00031408842591,0.5,3,exact_enumeration,0.006196615260164776,1.5648718358496497e-05,0.003955846098939707,-0.01549510181625277
4,00010111,0.21750000000000003,0.009460348195878697,0.25,0.0003623593603806958,True,0.25,8.0,2.775,base,-2.2857150252724145,-128.000351391276,0.5,4,exact_enumeration,0.007591913123404771,2.193616874853408e-05,0.004683606382749737,-0.016334498367302823
4,00011000,0.105,0.0058856997540706925,0.25,0.00021620955817078637,False,0.25,8.0,1.6749999999999998,base,-1.7142853503601532,-96.00021210205958,0.5,2,exact_enumeration,0.004757204640423445,8.214997161980643e-06,0.002866181634506202,-0.010357778478872733
