depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
1,-0.22022047598441366,base,,0,,7,restart,,-0.11560840568098826
1,-0.22022047598441366,base,,1,,7,restart,,0.6281935303106015
1,-0.22022047598441366,base,,2,,7,restart,,0.279853496511432
1,-0.22022047598441366,base,,3,,7,restart,,0.6857379147198339
1,-0.22022047598441366,base,,4,,7,restart,,0.671206576363679
1,-0.22022047598441366,base,,5,,7,restart,,-0.1275924105332884
1,-0.22022047598441366,base,,6,,7,restart,,0.3107209711637246
1,-0.22022047598441366,base,,7,,7,restart,,-0.0024986038390248117
1,-0.22022047598441366,base,,8,,7,restart,,-0.10436620024212287
1,-0.22022047598441366,base,,9,,7,restart,,-0.014470065147711136
1,-0.22022047598441366,base,,10,,7,restart,,-0.22022047598441366
1,-0.22022047598441366,base,,11,,7,restart,,0.055516109900079894
1,-0.22022047598441366,base,0,,0,7,coordinate_descent,0.6,-0.214205671809565
1,-0.22022047598441366,base,0,,0,7,coordinate_descent,0.6,-0.19266696061330332
1,-0.22022047598441366,base,1,,0,7,coordinate_descent,0.6,0.6386338423117816
1,-0.22022047598441366,base,1,,0,7,coordinate_descent,0.6,0.6585533322531789
1,-0.2195768349594534,base,,0,,11,restart,,0.762422099725533
1,-0.2195768349594534,base,,1,,11,restart,,0.03259058991767298
1,-0.2195768349594534,base,,2,,11,restart,,0.23599586558039817
1,-0.2195768349594534,base,,3,,11,restart,,-0.2107091326188155
1,-0.2195768349594534,base,,4,,11,restart,,0.4354631687320755
1,-0.2195768349594534,base,,5,,11,restart,,0.17010742409400698
1,-0.2195768349594534,base,,6,,11,restart,,0.4023525054849617
1,-0.2195768349594534,base,,7,,11,restart,,0.733805978625693
1,-0.2195768349594534,base,,8,,11,restart,,0.22560472837160384
1,-0.2195768349594534,base,,9,,11,restart,,0.4937039650062044
1,-0.2195768349594534,base,,10,,11,restart,,0.7826904616452176
1,-0.2195768349594534,base,,11,,11,restart,,0.037328799681551735
1,-0.2195768349594534,base,0,,0,11,coordinate_descent,0.6,-0.17998683936397558
1,-0.2195768349594534,base,0,,0,11,coordinate_descent,0.6,-0.2195768349594534
1,-0.2195768349594534,base,1,,0,11,coordinate_descent,0.6,0.795719480122829
1,-0.2195768349594534,base,1,,0,11,coordinate_descent,0.6,0.7157966517328705
1,-0.2195768349594534,base,0,,1,11,coordinate_descent,0.3,-0.2181628932294274
1,-0.2195768349594534,base,0,,1,11,coordinate_descent,0.3,-0.21422185520701786
1,-0.2195768349594534,base,1,,1,11,coordinate_descent,0.3,0.19352242991150462
1,-0.2195768349594534,base,1,,1,11,coordinate_descent,0.3,0.08324077125701876
1,-0.2209997044940387,base,,0,,19,restart,,0.06634079679496835
1,-0.2209997044940387,base,,1,,19,restart,,-0.11712838104432449
1,-0.2209997044940387,base,,2,,19,restart,,0.48266995197737506
1,-0.2209997044940387,base,,3,,19,restart,,0.4425849216124519
1,-0.2209997044940387,base,,4,,19,restart,,0.17480315160636473
1,-0.2209997044940387,base,,5,,19,restart,,1.0129088455008621
