B,backend,best_feasible_sampled_bitstring,best_feasible_sampled_objective_unscaled,best_feasible_scaled_objective_in_distribution,circuit_depth,connectivity_mode,edge_count,eta,expected_scaled_objective,feasible_probability_mass,gamma,lambda,model_version,noise_model,noise_strength,notes,optimal_bitstring_probability,p,q,qaoa_best_bitstring,qaoa_best_probability,qaoa_expected_energy,readout_error,run_id,seed,two_qubit_gate_count,var_alpha
4,cirq_ideal,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.22021949461363,0.5944003421652175,0.25,8.0,base,none,0.0,,0.008491464219758235,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.0,base-p1-seed7-naive-none-ns0.00-ro0.000,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.22021949461363,0.5944003421652175,0.25,8.0,base,one_zone,0.0,Used approximate noise fallback.,0.008491464219758235,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.0,base-p1-seed7-naive-one_zone-ns0.00-ro0.000,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.211498763715406,0.5679053784191704,0.25,8.0,base,one_zone,0.0,Used approximate noise fallback.,0.008112963239337273,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.01,base-p1-seed7-naive-one_zone-ns0.00-ro0.010,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.1945858310643005,0.5214653431916277,0.25,8.0,base,one_zone,0.0,Used approximate noise fallback.,0.007449531424787701,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.03,base-p1-seed7-naive-one_zone-ns0.00-ro0.030,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.166816028885314,0.5165668529401525,0.25,8.0,base,one_zone,1.0,Used approximate noise fallback.,0.007379549771466862,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.0,base-p1-seed7-naive-one_zone-ns1.00-ro0.000,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.160210075229909,0.49649691790252165,0.25,8.0,base,one_zone,1.0,Used approximate noise fallback.,0.0070928352787979895,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.01,base-p1-seed7-naive-one_zone-ns1.00-ro0.010,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.1473985287466975,0.4613185912176579,0.25,8.0,base,one_zone,1.0,Used approximate noise fallback.,0.006590285679276683,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.03,base-p1-seed7-naive-one_zone-ns1.00-ro0.030,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.113412563157,0.4387333637150872,0.25,8.0,base,one_zone,2.0,Used approximate noise fallback.,0.0062676353231754895,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.0,base-p1-seed7-naive-one_zone-ns2.00-ro0.000,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.108921386744416,0.42508845738587264,0.25,8.0,base,one_zone,2.0,Used approximate noise fallback.,0.006072707318258698,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.01,base-p1-seed7-naive-one_zone-ns2.00-ro0.010,7,56,0.95
4,approximate_noise,00011110,-128.00038925298003,-2.2857157013726352,87,naive,28,0.25,-2.1002112264290953,0.4011718392436883,0.25,8.0,base,one_zone,2.0,Used approximate noise fallback.,0.00573103993376567,1,0.5,00011110,0.008491462515897875,-0.22022047598441366,0.03,base-p1-seed7-naive-one_zone-ns2.00-ro0.030,7,56,0.95
